DIGITOS_012; 7,3
DIGITOS_013; 6,4
DIGITOS_014; 4,3
DIGITOS_017; 6,7
DIGITOS_018; 8,2
DIGITOS_019; 9,4
DIGITOS_021; 3,7
DIGITOS_023; 5,3,7
DIGITOS_024; 6,2,8
DIGITOS_025; 6,3,4
DIGITOS_026; 1,7,5
DIGITOS_027; 1,4,7
DIGITOS_028; 8,5,6
DIGITOS_029; 1,4,8
DIGITOS_030; 8,9,6
DIGITOS_031; 4,6,2
DIGITOS_032; 6,1,7,5
DIGITOS_033; 1,6,4,9
DIGITOS_034; 4,5,2,8
DIGITOS_035; 6,2,4,1
